rule,sup,conf,lift
region_2_Columbia Valley => Washington,0.10119047619047619,1.0,9.333333333333334
Washington => region_2_Columbia Valley,0.10119047619047619,0.9444444444444444,9.333333333333332
region_2_Willamette Valley => Oregon,0.13988095238095238,1.0,6.588235294117648
Oregon => region_2_Willamette Valley,0.13988095238095238,0.9215686274509803,6.588235294117647
region_1_Napa Valley => region_2_Napa,0.10714285714285714,1.0,6.109090909090909
region_2_Napa => region_1_Napa Valley,0.10714285714285714,0.6545454545454545,6.109090909090909
region_2_Willamette Valley => Pinot Noir,0.11011904761904762,0.7872340425531915,3.3063829787234047
Oregon => Pinot Noir,0.1130952380952381,0.7450980392156863,3.129411764705883
region_2_Central Coast => California,0.25595238095238093,1.0,1.4
region_2_Sonoma => California,0.18154761904761904,1.0,1.4
region_2_Napa => California,0.1636904761904762,1.0,1.4
region_1_Napa Valley => California,0.10714285714285714,1.0,1.4
Cabernet Sauvignon => California,0.11607142857142858,0.8478260869565217,1.1869565217391305
Chardonnay => California,0.12202380952380952,0.8367346938775511,1.1714285714285715
points_90 => California,0.19345238095238096,0.7647058823529411,1.0705882352941176
