,country,designation,points,price,province,region_1,region_2,variety,winery
0,US,Martha's Vineyard,points_96,price_235.0,California,region_1_Napa Valley,region_2_Napa,Cabernet Sauvignon,Heitz
1,Spain,Carodorum Selección Especial Reserva,points_96,price_110.0,Northern Spain,region_1_Toro,region_2_nan,Tinta de Toro,Bodega Carmen Rodríguez
2,US,Special Selected Late Harvest,points_96,price_90.0,California,region_1_Knights Valley,region_2_Sonoma,Sauvignon Blanc,Macauley
3,US,Reserve,points_96,price_65.0,Oregon,region_1_Willamette Valley,region_2_Willamette Valley,Pinot Noir,Ponzi
4,France,La Brûlade,points_95,price_66.0,Provence,region_1_Bandol,region_2_nan,Provence red blend,Domaine de la Bégude
5,Spain,Numanthia,points_95,price_73.0,Northern Spain,region_1_Toro,region_2_nan,Tinta de Toro,Numanthia
6,Spain,San Román,points_95,price_65.0,Northern Spain,region_1_Toro,region_2_nan,Tinta de Toro,Maurodos
7,Spain,Carodorum Único Crianza,points_95,price_110.0,Northern Spain,region_1_Toro,region_2_nan,Tinta de Toro,Bodega Carmen Rodríguez
8,US,Silice,points_95,price_65.0,Oregon,region_1_Chehalem Mountains,region_2_Willamette Valley,Pinot Noir,Bergström
9,US,Gap's Crown Vineyard,points_95,price_60.0,California,region_1_Sonoma Coast,region_2_Sonoma,Pinot Noir,Blue Farm
10,Italy,Ronco della Chiesa,points_95,price_80.0,Northeastern Italy,region_1_Collio,region_2_nan,Friulano,Borgo del Tiglio
11,US,Estate Vineyard Wadensvil Block,points_95,price_48.0,Oregon,region_1_Ribbon Ridge,region_2_Willamette Valley,Pinot Noir,Patricia Green Cellars
12,US,Weber Vineyard,points_95,price_48.0,Oregon,region_1_Dundee Hills,region_2_Willamette Valley,Pinot Noir,Patricia Green Cellars
13,France,Château Montus Prestige,points_95,price_90.0,Southwest France,region_1_Madiran,region_2_nan,Tannat,Vignobles Brumont
14,US,Grace Vineyard,points_95,price_185.0,Oregon,region_1_Dundee Hills,region_2_Willamette Valley,Pinot Noir,Domaine Serene
15,US,Sigrid,points_95,price_90.0,Oregon,region_1_Willamette Valley,region_2_Willamette Valley,Chardonnay,Bergström
16,US,Rainin Vineyard,points_95,price_325.0,California,region_1_Diamond Mountain District,region_2_Napa,Cabernet Sauvignon,Hall
17,Spain,6 Años Reserva Premium,points_95,price_80.0,Northern Spain,region_1_Ribera del Duero,region_2_nan,Tempranillo,Valduero
18,France,Le Pigeonnier,points_95,price_290.0,Southwest France,region_1_Cahors,region_2_nan,Malbec,Château Lagrézette
19,US,Gap's Crown Vineyard,points_95,price_75.0,California,region_1_Sonoma Coast,region_2_Sonoma,Pinot Noir,Gary Farrell
20,US,Grignolino,points_95,price_24.0,California,region_1_Napa Valley,region_2_Napa,Rosé,Heitz
21,Spain,Prado Enea Gran Reserva,points_95,price_79.0,Northern Spain,region_1_Rioja,region_2_nan,Tempranillo Blend,Muga
22,Spain,Termanthia,points_95,price_220.0,Northern Spain,region_1_Toro,region_2_nan,Tinta de Toro,Numanthia
23,US,Giallo Solare,points_95,price_60.0,California,region_1_Edna Valley,region_2_Central Coast,Chardonnay,Center of Effort
24,US,R-Bar-R Ranch,points_95,price_45.0,California,region_1_Santa Cruz Mountains,region_2_Central Coast,Pinot Noir,Comartin
25,New Zealand,Maté's Vineyard,points_94,price_57.0,Kumeu,region_1_nan,region_2_nan,Chardonnay,Kumeu River
26,US,Shea Vineyard,points_94,price_62.0,Oregon,region_1_Willamette Valley,region_2_nan,Pinot Noir,Bergström
27,US,Abetina,points_94,price_105.0,Oregon,region_1_Willamette Valley,region_2_Willamette Valley,Pinot Noir,Ponzi
28,US,Garys' Vineyard,points_94,price_60.0,California,region_1_Santa Lucia Highlands,region_2_Central Coast,Pinot Noir,Roar
29,US,The Funk Estate,points_94,price_60.0,Washington,region_1_Walla Walla Valley (WA),region_2_Columbia Valley,Syrah,Saviah
30,Bulgaria,Bergulé,points_90,price_15.0,Bulgaria,region_1_nan,region_2_nan,Mavrud,Villa Melnik
31,US,Babushka,points_90,price_37.0,California,region_1_Russian River Valley,region_2_Sonoma,Chardonnay,Zepaltas
32,Italy,Vigna Piaggia,points_90,price_nan,Tuscany,region_1_Brunello di Montalcino,region_2_nan,Sangiovese,Abbadia Ardenga
33,France,Nonpareil Trésor Rosé Brut,points_90,price_22.0,France Other,region_1_Vin Mousseux,region_2_nan,Sparkling Blend,Bouvet-Ladubay
34,US,Conner Lee Vineyard,points_90,price_42.0,Washington,region_1_Columbia Valley (WA),region_2_Columbia Valley,Chardonnay,Buty
35,Italy,Riserva,points_90,price_135.0,Tuscany,region_1_Brunello di Montalcino,region_2_nan,Sangiovese,Carillon
36,France,,points_90,price_60.0,Rhône Valley,region_1_Châteauneuf-du-Pape,region_2_nan,Rhône-style White Blend,Clos de L'Oratoire des Papes
37,Italy,,points_90,price_29.0,Tuscany,region_1_Vino Nobile di Montepulciano,region_2_nan,Sangiovese,Avignonesi
38,Italy,,points_90,price_23.0,Tuscany,region_1_Chianti Classico,region_2_nan,Sangiovese,Casina di Cornia
39,Italy,Riserva,points_90,price_29.0,Tuscany,region_1_Chianti Classico,region_2_nan,Red Blend,Castello di Monterinaldi
40,Spain,Amandi,points_90,price_17.0,Galicia,region_1_Ribeira Sacra,region_2_nan,Mencía,Don Bernardino
41,Spain,Alfonso Oloroso Seco,points_90,price_26.0,Andalucia,region_1_Jerez,region_2_nan,Palomino,González Byass
42,US,Private Reserve,points_90,price_55.0,Idaho,region_1_nan,region_2_nan,Petite Sirah,Huston
43,Italy,Riserva,points_90,price_39.0,Tuscany,region_1_Chianti Classico,region_2_nan,Red Blend,Rignana
44,France,Coteaux,points_90,price_69.0,Rhône Valley,region_1_Cornas,region_2_nan,Syrah,Tardieu-Laurent
45,Italy,Vigneto Odoardo Beccari Riserva,points_90,price_30.0,Tuscany,region_1_Chianti Classico,region_2_nan,Red Blend,Vignavecchia
46,Italy,Poggio alle Mura,points_90,price_90.0,Tuscany,region_1_Brunello di Montalcino,region_2_nan,Sangiovese,Banfi
47,US,Estate Grown,points_90,price_60.0,California,region_1_Mount Veeder,region_2_Napa,Cabernet Sauvignon,Brandlin
48,Italy,,points_90,price_50.0,Tuscany,region_1_Brunello di Montalcino,region_2_nan,Sangiovese,Brunelli Martoccia
49,US,,points_90,price_40.0,Washington,region_1_Red Mountain,region_2_Columbia Valley,Cabernet Sauvignon,Canvasback
50,Italy,Riserva,points_90,price_100.0,Tuscany,region_1_Brunello di Montalcino,region_2_nan,Sangiovese,Capanne Ricci
51,France,,points_90,price_68.0,Burgundy,region_1_Chassagne-Montrachet,region_2_nan,Chardonnay,Chartron et Trébuchet
52,France,Les 7 Hommes,points_90,price_42.0,Loire Valley,region_1_Sancerre,region_2_nan,Sauvignon Blanc,Cherrier Frères
53,France,L'Inédit,points_90,price_28.0,Loire Valley,region_1_Coteaux du Giennois,region_2_nan,Pinot Noir,Clement et Florian Berthier
54,US,,points_90,price_18.0,California,region_1_Russian River Valley,region_2_Sonoma,Chardonnay,De Loach
55,US,Four Flags,points_90,price_69.0,Washington,region_1_Red Mountain,region_2_Columbia Valley,Cabernet Sauvignon,DeLille
56,France,Le Pavé,points_90,price_nan,Loire Valley,region_1_Sancerre,region_2_nan,Sauvignon Blanc,Domaine Vacheron
57,US,Reserve,points_90,price_25.0,New York,region_1_Finger Lakes,region_2_Finger Lakes,Riesling,Dr. Konstantin Frank
58,US,Final Final,points_90,price_30.0,Washington,region_1_Columbia Valley (WA),region_2_Columbia Valley,Cabernet Sauvignon-Syrah,Efeste
59,Italy,Poggio Bestiale,points_90,price_60.0,Tuscany,region_1_Maremma Toscana,region_2_nan,Red Blend,Fattoria di Magliano
60,Argentina,The Apple Doesn't Fall Far From The Tree,points_91,price_30.0,Mendoza Province,region_1_Mendoza,region_2_nan,Malbec,Matias Riccitelli
61,Australia,,points_91,price_36.0,Victoria,region_1_Mornington Peninsula,region_2_nan,Pinot Noir,Moorooduc
62,Argentina,Alegoría Gran Reserva,points_91,price_25.0,Mendoza Province,region_1_Mendoza,region_2_nan,Malbec,Navarro Correas
63,France,L'Homme Mort Premier Cru,points_91,price_45.0,Burgundy,region_1_Chablis,region_2_nan,Chardonnay,Domaine Chenevières
64,Portugal,,points_91,price_23.0,Alentejano,region_1_nan,region_2_nan,Portuguese Red,Herdade do Rocim
65,US,Estate Select,points_91,price_36.0,California,region_1_Santa Clara Valley,region_2_Central Coast,Syrah,Jason-Stephens
66,France,Fourchaume Premier Cru,points_91,price_38.0,Burgundy,region_1_Chablis,region_2_nan,Chardonnay,Louis Max
67,US,Animo,points_91,price_85.0,California,region_1_Napa Valley,region_2_Napa,Cabernet Sauvignon,Michael Mondavi Family Estate
68,US,Schindler Vineyard,points_91,price_50.0,Oregon,region_1_Eola-Amity Hills,region_2_Willamette Valley,Pinot Noir,Panther Creek
69,US,Barrel Select,points_91,price_60.0,California,region_1_Rutherford,region_2_Napa,Cabernet Sauvignon,Provenance Vineyards
70,US,District Collection,points_91,price_85.0,California,region_1_St. Helena,region_2_Napa,Cabernet Sauvignon,Raymond
71,US,,points_91,price_45.0,California,region_1_Sonoma Coast,region_2_Sonoma,Pinot Noir,Red Car
72,Italy,Bussia Riserva,points_91,price_nan,Piedmont,region_1_Barolo,region_2_nan,Nebbiolo,Silvano Bolmida
73,US,,points_91,price_19.0,Oregon,region_1_Willamette Valley,region_2_Willamette Valley,Pinot Gris,Trinity Vineyards
74,Portugal,Premium,points_91,price_15.0,Alentejo,region_1_nan,region_2_nan,Portuguese Red,Adega Cooperativa de Borba
75,US,Premier Cuvée,points_91,price_54.0,Oregon,region_1_Willamette Valley,region_2_Willamette Valley,Pinot Noir,Archery Summit
76,France,Le Nombre d'Or Brut Nature,points_91,price_85.0,Champagne,region_1_Champagne,region_2_nan,Chardonnay,Aubry
77,US,Juliana Vineyard,points_91,price_38.0,California,region_1_Napa Valley,region_2_Napa,Sauvignon Blanc,B Cellars
78,US,,points_91,price_28.0,California,region_1_Napa Valley,region_2_Napa,Cabernet Sauvignon,B Side
79,Italy,Boscato,points_91,price_75.0,Piedmont,region_1_Barolo,region_2_nan,Nebbiolo,Bel Colle
80,US,Aeolian,points_91,price_42.0,Oregon,region_1_Eola-Amity Hills,region_2_Willamette Valley,Pinot Noir,Bethel Heights
81,Israel,Reserve,points_91,price_25.0,Upper Galilee,region_1_nan,region_2_nan,Cabernet Sauvignon,Binyamina
82,Italy,Palliano Riserva,points_91,price_nan,Piedmont,region_1_Roero,region_2_nan,Nebbiolo,Ceste
83,Italy,del Comune di Serralunga d'Alba,points_91,price_59.0,Piedmont,region_1_Barolo,region_2_nan,Nebbiolo,Cascina Cucco
84,Italy,Bricco Luciani,points_91,price_85.0,Piedmont,region_1_Barolo,region_2_nan,Nebbiolo,Cascina del Monastero
85,Italy,Bricco Gattera,points_91,price_80.0,Piedmont,region_1_Barolo,region_2_nan,Nebbiolo,Cordero di Montezemolo
86,France,Montmains Premier Cru,points_91,price_45.0,Burgundy,region_1_Chablis,region_2_nan,Chardonnay,Domaine Gérard Duplessis
87,US,,points_91,price_22.0,California,region_1_Napa Valley,region_2_Napa,Cabernet Sauvignon,Eagle Glen
88,US,Bacigalupi Vineyard,points_91,price_65.0,California,region_1_Russian River Valley,region_2_Sonoma,Pinot Noir,Eleven Eleven
89,US,Magnificat,points_91,price_50.0,California,region_1_Napa Valley,region_2_Napa,Meritage,Franciscan
90,US,,points_86,price_10.0,California,region_1_California,region_2_California Other,Cabernet Sauvignon,Belle Ambiance
91,Portugal,Marquês de Marialva Rosé Bruto,points_86,price_12.0,Beira Atlantico,region_1_nan,region_2_nan,Baga,Adega de Cantanhede
92,Italy,Nature,points_86,price_22.0,Veneto,region_1_Prosecco,region_2_nan,Glera,De Stefani
93,US,Small Lot Blend,points_86,price_13.0,California,region_1_Mendocino County,region_2_Mendocino/Lake Counties,Chardonnay,Parducci
94,Portugal,Muros de Vinha,points_86,price_10.0,Douro,region_1_nan,region_2_nan,Portuguese Red,Quinta do Portal
95,France,Château Beauvillain-Monpezat,points_86,price_14.0,Southwest France,region_1_Cahors,region_2_nan,Malbec-Merlot,Rigal
96,US,,points_86,price_18.0,California,region_1_California,region_2_California Other,Chardonnay,The Naked Grape
97,US,,points_86,price_36.0,California,region_1_Sonoma Valley,region_2_Sonoma,Cabernet Sauvignon,Tin Barn
98,France,Pigmentum,points_86,price_15.0,Southwest France,region_1_Buzet,region_2_nan,Merlot-Malbec,Georges Vigouroux
99,France,Pigmentum,points_86,price_10.0,Southwest France,region_1_Côtes de Gascogne,region_2_nan,Ugni Blanc-Colombard,Georges Vigouroux
100,US,,points_86,price_24.0,California,region_1_South Coast,region_2_South Coast,Viognier,Hawk Watch Winery
101,US,Stephanie,points_86,price_50.0,California,region_1_Napa Valley,region_2_Napa,Cabernet Sauvignon,Hestan
102,Italy,,points_86,price_45.0,Tuscany,region_1_Brunello di Montalcino,region_2_nan,Sangiovese,Il Grappolo
103,US,Bella's Blend,points_86,price_48.0,California,region_1_Knights Valley,region_2_Sonoma,Cabernet Sauvignon-Cabernet Franc,Ehret
104,US,Tears of Dew Late Harvest,points_86,price_20.0,California,region_1_Paso Robles,region_2_Central Coast,Moscato,EOS
105,US,Tudor Hills Vineyard,points_86,price_17.0,Washington,region_1_Yakima Valley,region_2_Columbia Valley,Pinot Grigio,Martinez & Martinez
106,US,,points_86,price_12.0,California,region_1_Lodi,region_2_Central Valley,Cabernet Franc,Ironstone
